Angle,Intensity
2.1643300000,0.0000605791
2.1703400000,0.0000470920
2.1763500000,0.0000741763
2.1823600000,0.0000389831
2.1883800000,0.0000699108
2.1943900000,0.0000496489
2.2004000000,0.0000514073
2.2064100000,0.0000661690
2.2124200000,0.0000371077
2.2184400000,0.0000698617
2.2244500000,0.0000406333
2.2304600000,0.0000559763
2.2364700000,0.0000566124
2.2424800000,0.0000383528
2.2485000000,0.0000667734
2.2545100000,0.0000344415
2.2605200000,0.0000594428
2.2665300000,0.0000468687
2.2725500000,0.0000416838
2.2785600000,0.0000610121
2.2845700000,0.0000313997
2.2905800000,0.0000608398
2.2965900000,0.0000381894
2.3026100000,0.0000458602
2.3086200000,0.0000534004
2.3146300000,0.0000312810
2.3206400000,0.0000597048
2.3266500000,0.0000315356
2.3326700000,0.0000496731
2.3386800000,0.0000449965
2.3446900000,0.0000334161
2.3507000000,0.0000560838
2.3567100000,0.0000274272
2.3627300000,0.0000521496
2.3687400000,0.0000368967
2.3747500000,0.0000368678
2.3807600000,0.0000504551
2.3867700000,0.0000259353
2.3927900000,0.0000526654
2.3988000000,0.0000300430
2.4048100000,0.0000406159
2.4108200000,0.0000435791
2.4168300000,0.0000267225
2.4228500000,0.0000510079
2.4288600000,0.0000250863
2.4348700000,0.0000437358
2.4408800000,0.0000363576
2.4468900000,0.0000291506
2.4529100000,0.0000473474
2.4589200000,0.0000223269
2.4649300000,0.0000455143
2.4709400000,0.0000296522
2.4769500000,0.0000324173
2.4829700000,0.0000421609
2.4889800000,0.0000217148
2.4949900000,0.0000455488
2.5010000000,0.0000241701
2.5070100000,0.0000357019
2.5130300000,0.0000361160
2.5190400000,0.0000228973
2.5250500000,0.0000437517
2.5310600000,0.0000203727
2.5370700000,0.0000382819
2.5430900000,0.0000299502
2.5491000000,0.0000253091
2.5551100000,0.0000403299
2.5611200000,0.0000184402
2.5671300000,0.0000396326
2.5731500000,0.0000243506
2.5791600000,0.0000282864
2.5851700000,0.0000357132
2.5911800000,0.0000182764
2.5971900000,0.0000394729
2.6032100000,0.0000198621
2.6092200000,0.0000311607
2.6152300000,0.0000304665
2.6212400000,0.0000195585
2.6272500000,0.0000377720
2.6332700000,0.0000168284
2.6392800000,0.0000333650
2.6452900000,0.0000251905
2.6513000000,0.0000218081
2.6573100000,0.0000347290
2.6633300000,0.0000153675
2.6693400000,0.0000344907
2.6753500000,0.0000204442
2.6813600000,0.0000244754
2.6873700000,0.0000307100
2.6933900000,0.0000153818
2.6994000000,0.0000343245
2.7054100000,0.0000166598
2.7114200000,0.0000270164
2.7174300000,0.0000261835
2.7234500000,0.0000165956
2.7294600000,0.0000328558
2.7354700000,0.0000141094
2.7414800000,0.0000289736
2.7474900000,0.0000216479
2.7535100000,0.0000186140
2.7595200000,0.0000302525
2.7655300000,0.0000128862
2.7715400000,0.0000300115
2.7775500000,0.0000175543
2.7835700000,0.0000209845
2.7895800000,0.0000268150
2.7955900000,0.0000129117
2.8016000000,0.0000299546
2.8076200000,0.0000142625
2.8136300000,0.0000232616
2.8196400000,0.0000229287
2.8256500000,0.0000139635
2.8316600000,0.0000287882
2.8376800000,0.0000120064
2.8436900000,0.0000250594
2.8497000000,0.0000190037
2.8557100000,0.0000157221
2.8617200000,0.0000266403
2.8677400000,0.0000108718
2.8737500000,0.0000260952
2.8797600000,0.0000154158
2.8857700000,0.0000178139
2.8917800000,0.0000237530
2.8978000000,0.0000108075
2.9038100000,0.0000262108
2.9098200000,0.0000124770
2.9158300000,0.0000198687
2.9218400000,0.0000204357
2.9278600000,0.0000116439
2.9338700000,0.0000253751
2.9398800000,0.0000103927
2.9458900000,0.0000215611
2.9519000000,0.0000170278
2.9579200000,0.0000131252
2.9639300000,0.0000236786
2.9699400000,0.0000092536
2.9759500000,0.0000226407
2.9819600000,0.0000138495
2.9879800000,0.0000149499
2.9939900000,0.0000213042
3.0000000000,0.0000090399
